rank,company,branch,city,province,branch_score,overall_rating,review_count,last_activity
115,Tipax,تیپاکس (پیروزی-نیروهوایی),Tehran,Tehran,52.08,3.4,5,a year ago
116,Tipax,تیپاکس کوهدشت,,Lorestan,52.08,3.4,5,a year ago
117,Tipax,نمایندگی تیپاکس هرند,Isfahan,Isfahan,52.03,3.0,2,7 months ago
118,Tipax,تیپاکس مهرویلا,,Alborz,52.03,3.0,2,7 months ago
119,Tipax,سرپرستی تیپاکس همدان,همدان,همدان,52.03,2.5,10,a year ago
120,Tipax,تیپاکس اهر,Ahar,بلوار جمهوری,51.99,4.0,2,6 months ago
121,Tipax,Mahshahr Tipax,Bandar-e Mahshahr، فاز 4، بوستان ششم غربی,Abozar Blvd,51.83,3.0,10,a year ago
122,Tipax,تیپاکس محمودآباد,,Mazandaran,51.83,3.0,10,a year ago
123,Chapar,دفتر چاپار کرمانشاه,کرمان,کرمان,51.83,3.0,10,a year ago
124,Tipax,تیپاکس یاس,Tehran,Tehran,51.82,3.667,3,a year ago
125,Tipax,تیپاکس شعبه ورزش,,East Azerbaijan,51.82,3.667,3,a year ago
126,Tipax,نمایندگی تیپاکس جلفا,Isfahan,Isfahan,51.82,3.667,3,a year ago
127,Tipax,نمایندگی تیپاکس شهرک های صنعتی,,Hormozgan,51.82,3.667,3,a year ago
128,Tipax,سرویس پوینت تیپاکس لوشان,,Gilan,51.82,3.667,3,a year ago
129,Tipax,تیپاکس امام خمینی,Isfahan,Isfahan,51.7,5.0,1,2 years ago
130,Tipax,نمایندگی تیپاکس تفت,یزد,یزد,51.7,5.0,1,2 years ago
131,Tipax,نمایندگی تیپاکس سپیدان,,Fars,51.7,5.0,1,3 years ago
132,Tipax,تیپاکس آل محمد اصفهان,Isfahan,Isfahan,51.7,5.0,1,3 weeks ago
133,Tipax,تیپاکس شاهپور جدید,Isfahan,Isfahan,51.7,5.0,1,a week ago
134,Tipax,نمایندگی تیپاکس آذری,Tehran,Tehran,51.7,5.0,1,2 weeks ago
135,Tipax,تیپاکس تجریش,Tajrish,Fowqani,51.7,5.0,1,6 months ago
136,Tipax,تی هاب شیراز ( انبار مرکزی تیپاکس ),اصفهان,اصفهان,51.7,5.0,1,5 months ago
137,Tipax,نمایندگی تیپاکس فراشبند,,Fars,51.7,5.0,1,4 years ago
138,Tipax,تیپاکس ساجدی,,Razavi Khorasan,51.7,5.0,1,a month ago
139,Tipax,تیپاکس شاملو - قاسم آباد,,Razavi Khorasan,51.7,5.0,1,a month ago
140,Tipax,نمایندگی تیپاکس فیض آباد,,Razavi Khorasan,51.7,5.0,1,5 years ago
141,Tipax,تیپاکس چناران,Chenaran، خیابان شهید بهشتی 15، J4MF+6Q2,Iran,51.7,5.0,1,7 months ago
142,Tipax,نمایندگی تیپاکس خواف,Khaf,خیابان فصیح,51.7,5.0,1,a year ago
143,Tipax,تیپاکس سنگان,,Razavi Khorasan,51.7,5.0,1,a year ago
144,Tipax,تیپاکس اسکو,,East Azerbaijan,51.7,5.0,1,5 months ago
145,Tipax,تیپاکس رشدیه,,East Azerbaijan,51.7,5.0,1,a year ago
146,Tipax,تیپاکس مایسا,,West Azerbaijan,51.7,5.0,1,7 months ago
147,Tipax,"تیپاکس نیوساید اهواز (TIPAX,NEWSIDE)",,Khuzestan,51.7,5.0,1,6 months ago
148,Tipax,تیپاکس هفتکل,,Khuzestan,51.7,5.0,1,a year ago
149,Tipax,تیپاکس باهنر,Ahvaz، ‫بلوار ناصح شرقی،دفتر تیپاکس، بلوار معلم، پلاک ابتدای,Iran,51.7,5.0,1,a month ago
150,Tipax,دفتر پیشخوان دولت نمایندگی پست و تیپاکس,,Khuzestan,51.7,5.0,1,6 months ago
151,Tipax,نمایندگی تیپاکس جناح هرمزگان,,Hormozgan,51.7,5.0,1,3 years ago
152,Tipax,دفتر تیپاکس کوی نیایش,68FH+832,Bandar Abbas,51.7,5.0,1,a year ago
153,Tipax,تیپاکس شعبه نورانی,,Gilan,51.7,5.0,1,a year ago
154,Tipax,تیپاکس کومله,,گیلان,51.7,5.0,1,4 years ago
155,Chapar,موسسه توریستی چاپار,Tehran,Tehran,51.7,5.0,1,7 years ago
156,Chapar,کالا رسانان چاپار بیجار,Bijar,Kurdistan,51.7,5.0,1,5 months ago
157,Mahex,نمایندگی ماهکس پونک,Tehran,Tehran,51.7,5.0,1,4 days ago
158,Mahex,ماهکس انقلاب,Tehran,Tehran,51.7,5.0,1,a month ago
159,Mahex,پست ماهکس ساری,,Mazandaran,51.7,5.0,1,7 months ago
160,Mahex,mahex,Qazvin,Qazvin,51.7,5.0,1,Edited a year ago
161,AloPeyk,پیک موتوری ثابت,اصفهان,اصفهان,51.7,5.0,1,6 years ago
162,Tipax,نمایندگی تیپاکس خاش,Khash، خیابان نیکبخت، 66F7+576,Iran,51.6,2.9,10,a year ago
163,Tipax,نمایندگی تیپاکس بابلسر,,Mazandaran,51.57,3.1,10,a year ago
164,Tipax,تیپاکس سمنان شعبه 1 قدیمی ترین شعبه تیپاکس درشهرسمنان,,Semnan,51.57,2.3,10,a year ago
165,Tipax,تیپاکس مجتمع تجاری امال,Tehran,Tehran,51.44,5.0,2,8 months ago
166,Tipax,نمایندگی تیپاکس نازی آباد,Tehran,Tehran,51.37,2.8,10,a year ago
167,Tipax,تیپاکس تبریز شهناز,,East Azerbaijan,51.37,3.0,8,a year ago
168,Tipax,تیپاکس رشت,Rasht,آدرس خیابان پیام نور,51.37,4.0,1,a year ago
169,Tipax,تیپاکس ساری خیابان دانش,,Mazandaran,51.37,4.0,1,7 months ago
170,Tipax,تیپاکس فومن,,Gilan,51.25,3.25,4,5 years ago
171,Tipax,تیپاکس شعبه ۲,,Hamadan,51.13,2.7,10,a year ago
172,Tipax,اکسس پوینت تیپاکس ابوذر غفاری,شیراز,فارس,51.12,4.5,2,9 months ago
173,Tipax,پست تیپاکس نمایندگی کوروش,,Khuzestan,51.12,2.875,8,a year ago
174,Tipax,تیپاکس گوهردشت,Karaj,Alborz,51.03,3.0,1,5 months ago
175,Tipax,تیپاکس زاگرس / میرآباد,,Chaharmahal and Bakhtiari,50.91,3.0,6,a year ago
176,Tipax,نمایندگی تیپاکس خرم آباد کیو,,Lorestan,50.87,2.8,10,8 months ago
177,Tipax,نمایندگی تیپاکس کامیاران,,Kurdistan,50.62,2.625,8,a month ago
178,Tipax,Tipax Vanak,Tehran,Tehran Province,50.61,2.8,15,2026-07-19
179,Tipax,سرویس پوینت تیپاکس صوراسرافیل,Tehran,Tehran,50.6,2.333,3,a year ago
180,Tipax,تیپاکس باغ غدیر,Isfahan,Isfahan,50.5,3.0,4,a year ago
181,Tipax,تیپاکس اشنویه,,آذربایجان غربی,50.5,3.0,4,a year ago
182,Tipax,نمایندگی تیپاکس خرم آباد افلاک,,Lorestan,50.5,3.0,4,a year ago
183,Tipax,تیپاکس پاداد,,Khuzestan,50.5,3.0,4,6 months ago
184,Tipax,تیپاکس گلشهر کاظمیه زنجان,,Zanjan,50.5,3.0,4,a year ago
185,Mahex,Mahex jannat abad,Tehran,Tehran,50.5,3.0,4,a year ago
186,Tipax,TPG post,,Hormozgan,50.49,3.5,2,6 years ago
187,Tipax,نمایندگی تیپاکس چهارراه سرداران,,Fars,50.37,1.0,1,a year ago
188,Tipax,تیپاکس نمایندگی سمیرم,Isfahan,Isfahan,50.32,3.0,1,a year ago
189,Tipax,تیپاکس شعبه تربیت ارومیه,Urmia,شهرک فرهنگیان,50.32,3.0,1,7 months ago
190,Chapar,انبار چاپار,F9V6+PG8,Kahrizak,50.32,3.0,1,5 months ago
191,Tipax,Tipax HQ,Tehran,Tehran Province,50.28,2.714,14,2026-07-28
192,Tipax,تیپاکس مکران,,Sistan and Baluchestan,50.26,2.667,3,a week ago
193,Tipax,باربری تیپاکس,,Chaharmahal and Bakhtiari,50.26,2.667,3,6 years ago
194,Tipax,تیپاکس فیاض بخش,Tehran,Tehran,50.17,3.0,2,a year ago
195,Tipax,نمایندگی تیپاکس آبشار (شرق اصفهان ),Isfahan,Isfahan,50.17,3.0,2,9 months ago
196,Tipax,تیپاکس تعاون,,Kerman,50.17,3.0,2,3 weeks ago
197,Tipax,نمایندگی تیپاکس بیجار,,Kurdistan,50.17,3.0,2,8 months ago
198,Mahex,پست ماهکس,Tehran,Tehran,50.17,3.0,2,a year ago
199,Tipax,نمایندگی تیپاکس اشتهارد,,Alborz,50.11,2.5,6,a year ago
200,Tipax,تیپاکس نمایندگی پامنار,مقابل، همایون پلاک ۱۰، پله نوروزخان، پلاک کوچه,Iran,50.0,0.0,0,
