rank,branch_id,name,city,province,collected_reviews,claimed_review_count,google_rating,maps_url,phone
24,121,تیپاکس فاطمی,Tehran,Tehran,10,43,4.1,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D9%81%D8%A7%D8%B7%D9%85%DB%8C%E2%80%AD/data=!4m7!3m6!1s0x3f8e01005b220087:0x231ac2ae791b2e4!8m2!3d35.7185111!4d51.397011!16s%2Fg%2F11w3rdvw6x!19sChIJhwAiWwABjj8R5LKR5yqsMQI?authuser=0&hl=en&rclk=1,+98 21 8895 9553
25,135,تیپاکس عباس آباد,Tehran,Tehran,10,18,3.1,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%B9%D8%A8%D8%A7%D8%B3+%D8%A2%D8%A8%D8%A7%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3f8e03df1ee6cbd1:0x9d62c64c0c0602eb!8m2!3d35.7300648!4d51.4330096!16s%2Fg%2F11ny1_k0r9!19sChIJ0cvmHt8Djj8R6wIGDEzGYp0?authuser=0&hl=en&rclk=1,+98 21 8850 9412
26,150,نمایندگی تیپاکس افسریه,Tehran,Tehran,10,15,3.1,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%A7%D9%81%D8%B3%D8%B1%DB%8C%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3f91fdab91d5dbb3:0xcc13f7df23ee2c65!8m2!3d35.6373783!4d51.4899738!16s%2Fg%2F11lgyhj4xz!19sChIJs9vVkav9kT8RZSzuI9_3E8w?authuser=0&hl=en&rclk=1,+98 21 3322 5347
27,151,نمایندگی تیپاکس حکیمیه,Tehran,Tehran,10,21,3.7,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%AD%DA%A9%DB%8C%D9%85%DB%8C%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3f8e1d81f227dc35:0x22b404b90121274e!8m2!3d35.7402708!4d51.598677!16s%2Fg%2F11mc20gt5_!19sChIJNdwn8oEdjj8RTichAbkEtCI?authuser=0&hl=en&rclk=1,+98 21 7700 1142
28,161,نمایندگی تیپاکس دهکده المپیک,دهکده المپیک خیابان ساحل,خیابان ۴۵، Iran,10,12,3.0,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%AF%D9%87%DA%A9%D8%AF%D9%87+%D8%A7%D9%84%D9%85%D9%BE%DB%8C%DA%A9%E2%80%AD/data=!4m7!3m6!1s0x3f8dfb6165f516cd:0xf48b146370ed77ad!8m2!3d35.7584716!4d51.2944237!16s%2Fg%2F11spp2czyk!19sChIJzRb1ZWH7jT8RrXftcGMUi_Q?authuser=0&hl=en&rclk=1,+98 21 4433 0239
29,163,نمایندگی تیپاکس چهاردانگه,Tehran,Tehran,10,28,3.8,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%DA%86%D9%87%D8%A7%D8%B1%D8%AF%D8%A7%D9%86%DA%AF%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3f920156b767dea1:0x336e7060ce7eb405!8m2!3d35.5983911!4d51.3054157!16s%2Fg%2F11q880m5_b!19sChIJod5nt1YBkj8RBbR-zmBwbjM?authuser=0&hl=en&rclk=1,+98 21 5525 7070
30,170,نمایندگی تیپاکس مشیریه,تهران,تهران,10,25,2.0,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D9%85%D8%B4%DB%8C%D8%B1%DB%8C%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3f91fd6cc2c72519:0xc9992735a8fa327f!8m2!3d35.6244349!4d51.4919129!16s%2Fg%2F11q93pq7nj!19sChIJGSXHwmz9kT8RfzL6qDUnmck?authuser=0&hl=en&rclk=1,+98 21 3348 3768
31,173,نمایندگی تیپاکس راه آهن,Tehran,Tehran,10,11,2.5,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%B1%D8%A7%D9%87+%D8%A2%D9%87%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3f91ffaa2e4e4a27:0xe06d6b030a4ed43d!8m2!3d35.6592823!4d51.4108209!16s%2Fg%2F11nc9vf46h!19sChIJJ0pOLqr_kT8RPdROCgNrbeA?authuser=0&hl=en&rclk=1,+98 935 612 7171
32,178,نمایندگی تیپاکس واوان تهران,Tehran,Tehran,10,14,2.2,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D9%88%D8%A7%D9%88%D8%A7%D9%86+%D8%AA%D9%87%D8%B1%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3f92056f0e13e81b:0x2c1525863eed86c3!8m2!3d35.5128375!4d51.2307344!16s%2Fg%2F11sq8sz5_d!19sChIJG-gTDm8Fkj8Rw4btPoYlFSw?authuser=0&hl=en&rclk=1,+98 21 5631 7241
33,189,تیپاکس مهرشهر,Tehran,Tehran,10,57,3.2,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D9%85%D9%87%D8%B1%D8%B4%D9%87%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3f8dbd6db68f1561:0x22a9a29b3e97fdd4!8m2!3d35.8200413!4d50.9042335!16s%2Fg%2F11hz_sg77m!19sChIJYRWPtm29jT8R1P2XPpuiqSI?authuser=0&hl=en&rclk=1,+98 26 3330 0755
34,196,نمایندگی تیپاکس نظرآباد,,Alborz,10,20,2.4,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D9%86%D8%B8%D8%B1%D8%A2%D8%A8%D8%A7%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3f8cff35c0146645:0xf1f64cfccc05eb9e!8m2!3d35.9508381!4d50.6047409!16s%2Fg%2F11j91p55wg!19sChIJRWYUwDX_jD8RnusFzPxM9vE?authuser=0&hl=en&rclk=1,+98 26 4536 8549
35,197,تیپاکس کیانمهر,Karaj,Alborz,10,21,3.8,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%DA%A9%DB%8C%D8%A7%D9%86%D9%85%D9%87%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3f8dbd96ee6c8b43:0xc9043f5090b8b647!8m2!3d35.779381!4d50.855943!16s%2Fg%2F11kqgmsm5c!19sChIJQ4ts7pa9jT8RR7a4kFA_BMk?authuser=0&hl=en&rclk=1,+98 936 497 9763
36,202,تیپاکس مهستان,,Alborz,10,23,2.7,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D9%85%D9%87%D8%B3%D8%AA%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3f8dab5e910644f7:0x7497310ca1e7bad9!8m2!3d35.9743839!4d50.7099121!16s%2Fg%2F11j1crjvpq!19sChIJ90QGkV6rjT8R2brnoQwxl3Q?authuser=0&hl=en&rclk=1,+98 26 9103 9033
37,205,تیپاکس هشتگرد,,Alborz,10,13,2.5,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D9%87%D8%B4%D8%AA%DA%AF%D8%B1%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3f8d018a64473e7b:0x886d6c380b0bf8a2!8m2!3d35.9668684!4d50.672182!16s%2Fg%2F11h528qddf!19sChIJez5HZIoBjT8RovgLCzhsbYg?authuser=0&hl=en&rclk=1,+98 26 4421 4817
38,215,Tayeb -Shams Abadi- Taleghani,Isfahan,Isfahan,10,11,2.6,https://www.google.com/maps/place/Tayeb+-Shams+Abadi-+Taleghani/data=!4m7!3m6!1s0x3fbc35e96585d029:0xeab99b92fc6f809a!8m2!3d32.6578119!4d51.6663438!16s%2Fg%2F1vhkj0d6!19sChIJKdCFZek1vD8RmoBv_JKbueo?authuser=0&hl=en&rclk=1,
39,219,نمایندگی تیپاکس فلاورجان,اصفهان,اصفهان,10,23,3.3,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D9%81%D9%84%D8%A7%D9%88%D8%B1%D8%AC%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3fbc2f525a02d07b:0x5679f8d38d576602!8m2!3d32.5522117!4d51.5087287!16s%2Fg%2F11hyxqb9dy!19sChIJe9ACWlIvvD8RAmZXjdP4eVY?authuser=0&hl=en&rclk=1,+98 990 109 9847
40,221,Tipax Central Office(انبار مرکزی شیراز),,Fars,10,19,1.7,https://www.google.com/maps/place/Tipax+Central+Office%28%D8%A7%D9%86%D8%A8%D8%A7%D8%B1+%D9%85%D8%B1%DA%A9%D8%B2%DB%8C+%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2%29%E2%80%AD/data=!4m7!3m6!1s0x3fb20f768c091a11:0x1b5c58e5081fb1ad!8m2!3d29.6776393!4d52.5569799!16s%2Fg%2F11fs_hz_rv!19sChIJERoJjHYPsj8RrbEfCOVYXBs?authuser=0&hl=en&rclk=1,+98 71 3242 8186
41,228,دفتر تیپاکس شعبه نصر,,Fars,10,11,1.7,https://www.google.com/maps/place/%D8%AF%D9%81%D8%AA%D8%B1+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%B4%D8%B9%D8%A8%D9%87+%D9%86%D8%B5%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3fb273007d687b65:0x895ea36d72a17c12!8m2!3d29.5672983!4d52.6037568!16s%2Fg%2F11ldt8bctr!19sChIJZXtofQBzsj8REnyhcm2jXok?authuser=0&hl=en&rclk=1,+98 938 971 1141
42,233,دفتر تیپاکس کازرون,,فارس,10,13,2.4,https://www.google.com/maps/place/%D8%AF%D9%81%D8%AA%D8%B1+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%DA%A9%D8%A7%D8%B2%D8%B1%D9%88%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3fb15f41e61a2365:0xfc7394c424fccb7!8m2!3d29.6187437!4d51.6586623!16s%2Fg%2F11qqhd0g8y!19sChIJZSMa5kFfsT8Rt8xPQkw5xw8?authuser=0&hl=en&rclk=1,+98 71 4222 8730
43,237,نمایندگی تیپاکس فسا سرو,,Fars,10,12,5.0,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D9%81%D8%B3%D8%A7+%D8%B3%D8%B1%D9%88%E2%80%AD/data=!4m7!3m6!1s0x3e5333d48f9e050b:0x144576b8ac01f69e!8m2!3d28.9440979!4d53.6450402!16s%2Fg%2F11ptrd0kl3!19sChIJCwWej9QzUz4RnvYBrLh2RRQ?authuser=0&hl=en&rclk=1,+98 71 5331 5005
44,241,تیپاکس شعبه جهرم,,Fars,10,18,4.1,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%B4%D8%B9%D8%A8%D9%87+%D8%AC%D9%87%D8%B1%D9%85%E2%80%AD/data=!4m7!3m6!1s0x3e531077616bf679:0xd2a3edade0893ef4!8m2!3d28.4944517!4d53.5673799!16s%2Fg%2F11g7254q8j!19sChIJefZrYXcQUz4R9D6J4K3to9I?authuser=0&hl=en&rclk=1,+98 71 5444 5900
45,244,marvdasht tipax post office,,Fars,10,15,2.8,https://www.google.com/maps/place/marvdasht+tipax+post+office/data=!4m7!3m6!1s0x3fadfb003c2f4499:0x94c6d270eb119106!8m2!3d29.8709538!4d52.8072413!16s%2Fg%2F11smhzvp_0!19sChIJmUQvPAD7rT8RBpER63DSxpQ?authuser=0&hl=en&rclk=1,+98 936 460 4242
46,256,نمایندگی مشهد فجر تیپاکس,,Razavi Khorasan,10,13,3.3,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D9%85%D8%B4%D9%87%D8%AF+%D9%81%D8%AC%D8%B1+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x3f6c91b0d003b665:0x8c2dd232175ddbb4!8m2!3d36.3131163!4d59.6130037!16s%2Fg%2F11pcxwrdwh!19sChIJZbYD0LCRbD8RtNtdFzLSLYw?authuser=0&hl=en&rclk=1,+98 51 3739 3000
47,261,Tipax Misaq,,Fars,10,22,2.4,https://www.google.com/maps/place/Tipax+Misaq/data=!4m7!3m6!1s0x3f6c8ddfe5f88617:0xc8daf4d73a8173bd!8m2!3d36.3642843!4d59.4866964!16s%2Fg%2F11sfbvw9qn!19sChIJF4b45d-NbD8RvXOBOtf02sg?authuser=0&hl=en&rclk=1,+98 51 3240 4664
