brand_name,branch_name,city,province,review_count,average_rating,positive_reviews,negative_reviews
Tipax,تیپاکس ،ارسال سریع پستی,NULL,Kurdistan,10,1.0,NULL,NULL
Tipax,تیپاکس آریا,Isfahan,Isfahan,10,4.1,NULL,NULL
Tipax,تیپاکس آرین,NULL,Fars,2,5.0,NULL,NULL
Tipax,تیپاکس آزادشهر,NULL,Yazd,3,2.3333,NULL,NULL
Tipax,تیپاکس آل محمد اصفهان,Isfahan,Isfahan,1,5.0,NULL,NULL
Tipax,تیپاکس آمل ۱۷شهریور - Tipax Amol Branch,Amol,ده متری اول,10,4.2,NULL,NULL
Tipax,تیپاکس احمد آباد,Isfahan,Isfahan,1,1.0,NULL,NULL
Tipax,تیپاکس ارشاد (نمایندگی صابرین),NULL,Gilan,1,1.0,NULL,NULL
Tipax,تیپاکس اسالم,NULL,Gilan,6,5.0,NULL,NULL
Tipax,تیپاکس استاد شهریار تبریز (تیپاکس میدان رسالت),NULL,East Azerbaijan,9,4.1111,NULL,NULL
Tipax,تیپاکس اسکو,NULL,East Azerbaijan,1,5.0,NULL,NULL
Tipax,تیپاکس اشنویه,NULL,آذربایجان غربی,4,3.0,NULL,NULL
Tipax,تیپاکس الیگودرز,NULL,Lorestan,2,5.0,NULL,NULL
Tipax,تیپاکس امام خمینی,Isfahan,Isfahan,1,5.0,NULL,NULL
Tipax,تیپاکس اهر,Ahar,بلوار جمهوری,2,4.0,NULL,NULL
Tipax,تیپاکس ایرانشهر,NULL,Sistan and Baluchestan,7,2.7143,NULL,NULL
Tipax,تیپاکس باغ غدیر,Isfahan,Isfahan,4,3.0,NULL,NULL
Tipax,تیپاکس باغستان,Tehran,Tehran,6,1.6667,NULL,NULL
Tipax,تیپاکس باهنر,Ahvaz، ‫بلوار ناصح شرقی،دفتر تیپاکس، بلوار معلم، پلاک ابتدای,Iran,1,5.0,NULL,NULL
Tipax,تیپاکس بسطامی,NULL,Kerman,2,5.0,NULL,NULL
Tipax,تیپاکس بندرلنگه,NULL,Hormozgan,10,3.0,NULL,NULL
Tipax,تیپاکس بهارستان غربی,Isfahan,Isfahan,6,1.6667,NULL,NULL
Tipax,تیپاکس تبریز شهناز,NULL,East Azerbaijan,8,3.0,NULL,NULL
Tipax,تیپاکس تجریش,Tajrish,Fowqani,1,5.0,NULL,NULL
Tipax,تیپاکس تعاون,NULL,Kerman,2,3.0,NULL,NULL
Tipax,تیپاکس تهرانسر,Tehran,Tehran,5,2.4,NULL,NULL
Tipax,تیپاکس جالق,JP44+5P3,Jalq,2,4.5,NULL,NULL
Tipax,تیپاکس جانبازان رشت,NULL,Gilan,4,4.0,NULL,NULL
Tipax,تیپاکس جویبار,NULL,Mazandaran,10,2.0,NULL,NULL
Tipax,تیپاکس جی - شهروند,Isfahan,Isfahan,4,2.0,NULL,NULL
Tipax,تیپاکس جی شهروند,Isfahan,Isfahan,2,1.0,NULL,NULL
Tipax,تیپاکس حمیدیان,Rasht، خیابان امام رضا جنب دفتر پیشخوان، چهارراه جمهوری، 7H82+4R4,Iran,1,1.0,NULL,NULL
Tipax,تیپاکس خانه اصفهان - جمع آوری مرسولات پستی,Isfahan,Isfahan,2,5.0,NULL,NULL
Tipax,تیپاکس خمینی شهر شعبه همایون,Isfahan,Isfahan,5,1.0,NULL,NULL
Tipax,تیپاکس خواجو اصفهان,Isfahan,Isfahan,1,1.0,NULL,NULL
Tipax,تیپاکس خوراسگان(نیک پور),Isfahan,Isfahan,6,1.0,NULL,NULL
Tipax,تیپاکس دیلمان,Rasht,خیابان آرام,5,4.2,NULL,NULL
Tipax,تیپاکس رامهرمز,NULL,Khuzestan,6,1.6667,NULL,NULL
Tipax,تیپاکس رشت,Rasht,آدرس خیابان پیام نور,1,4.0,NULL,NULL
Tipax,تیپاکس رشت صنعتی,NULL,Gilan,3,5.0,NULL,NULL
Tipax,تیپاکس رشدیه,NULL,East Azerbaijan,1,5.0,NULL,NULL
Tipax,تیپاکس رودان کد7608,NULL,Hormozgan,4,3.75,NULL,NULL
Tipax,تیپاکس زاگرس / میرآباد,NULL,Chaharmahal and Bakhtiari,6,3.0,NULL,NULL
Tipax,تیپاکس زرقان,NULL,Fars,6,4.1667,NULL,NULL
Tipax,تیپاکس زرگران,NULL,Razavi Khorasan,2,2.5,NULL,NULL
Tipax,تیپاکس زیباشهر,FV47+X35,Zahedan,10,2.4,NULL,NULL
Tipax,تیپاکس زینبیه,Isfahan,Isfahan,5,4.4,NULL,NULL
Tipax,تیپاکس ساجدی,NULL,Razavi Khorasan,1,5.0,NULL,NULL
Tipax,تیپاکس ساری خیابان دانش,NULL,Mazandaran,1,4.0,NULL,NULL
Tipax,تیپاکس سبلان,Tehran,Tehran,9,2.1111,NULL,NULL
Tipax,تیپاکس سرخرود,سرخرود،,، خ دانش، جنب پارک,4,4.25,NULL,NULL
Tipax,تیپاکس سردشت,NULL,West Azerbaijan,8,3.5,NULL,NULL
Tipax,تیپاکس سرپرستی اهواز,NULL,Khuzestan,1,1.0,NULL,NULL
Tipax,تیپاکس سلماس,NULL,آذربایجان غربی,4,5.0,NULL,NULL
Tipax,تیپاکس سمن,Isfahan,Isfahan,5,4.8,NULL,NULL
Tipax,تیپاکس سمنان شعبه 1 قدیمی ترین شعبه تیپاکس درشهرسمنان,NULL,Semnan,10,2.3,NULL,NULL
Tipax,تیپاکس سنگان,NULL,Razavi Khorasan,1,5.0,NULL,NULL
Tipax,تیپاکس سورک,Surak,جنب سوپرمارکت شمال دفتر تیپاکس,3,4.0,NULL,NULL
Tipax,تیپاکس شادمان,Tehran,Tehran,7,1.5714,NULL,NULL
Tipax,تیپاکس شاملو - قاسم آباد,NULL,Razavi Khorasan,1,5.0,NULL,NULL
Tipax,تیپاکس شاهپور جدید,Isfahan,Isfahan,1,5.0,NULL,NULL
Tipax,تیپاکس شعبه 3اهواز,NULL,Khuzestan,2,1.0,NULL,NULL
Tipax,تیپاکس شعبه 4,58J3+Q8R نصر 1,Bandar Abbas,10,1.4,NULL,NULL
Tipax,تیپاکس شعبه آرژانتین,Tehran,Tehran,10,1.8,NULL,NULL
Tipax,تیپاکس شعبه بابل,NULL,Mazandaran,10,2.1,NULL,NULL
Tipax,تیپاکس شعبه بوشهر,NULL,Bushehr,10,1.4,NULL,NULL
Tipax,تیپاکس شعبه تربیت ارومیه,Urmia,شهرک فرهنگیان,1,3.0,NULL,NULL
Tipax,تیپاکس شعبه جهرم,NULL,Fars,10,3.8,NULL,NULL
Tipax,تیپاکس شعبه خرمشهر,NULL,Khuzestan,10,1.7,NULL,NULL
Tipax,تیپاکس شعبه رامسر,NULL,Mazandaran,10,2.2,NULL,NULL
Tipax,تیپاکس شعبه زیتون کارگری,NULL,Khuzestan,9,1.8889,NULL,NULL
Tipax,تیپاکس شعبه شهرک نبوت,69Q3+5GP,Bandar Abbas,7,2.1429,NULL,NULL
Tipax,تیپاکس شعبه عبدالرزاق,Isfahan,Isfahan,1,1.0,NULL,NULL
Tipax,تیپاکس شعبه ماسال,NULL,Gilan,10,4.0,NULL,NULL
Tipax,تیپاکس شعبه ملاصدرا,NULL,Fars,10,2.4,NULL,NULL
Tipax,تیپاکس شعبه ملوان,NULL,Hormozgan,7,3.2857,NULL,NULL
Tipax,تیپاکس شعبه میانه,NULL,East Azerbaijan,10,4.4,NULL,NULL
Tipax,تیپاکس شعبه نقده,NULL,West Azerbaijan,6,4.0,NULL,NULL
Tipax,تیپاکس شعبه نور,NULL,Mazandaran,10,3.6,NULL,NULL
Tipax,تیپاکس شعبه نورآباد,NULL,Fars,10,4.6,NULL,NULL
Tipax,تیپاکس شعبه نورانی,NULL,Gilan,1,5.0,NULL,NULL
Tipax,تیپاکس شعبه وحدت,Tehran,Tehran,2,1.0,NULL,NULL
Tipax,تیپاکس شعبه ورزش,NULL,East Azerbaijan,3,3.6667,NULL,NULL
Tipax,تیپاکس شعبه پادادشهر,Ahvaz، ‫معلم غربی، 7MRR+6R7,Iran,1,1.0,NULL,NULL
Tipax,تیپاکس شعبه پیروزی رضاشهر,Mashhad,Razavi Khorasan,10,1.0,NULL,NULL
Tipax,تیپاکس شعبه کشاورز,Isfahan,Isfahan,10,1.4,NULL,NULL
Tipax,تیپاکس شعبه کلهری,NULL,Qom,10,1.8,NULL,NULL
Tipax,تیپاکس شعبه ۱ نجف آباد,Najafabad,Riazi St، روبه روی حلال احمر,10,1.6,NULL,NULL
Tipax,تیپاکس شعبه ۲,NULL,Hamadan,10,2.7,NULL,NULL
Tipax,تیپاکس شهرک صنعتی Tipax,NULL,Yazd,2,4.5,NULL,NULL
Tipax,تیپاکس طرقبه و شاندیز,طرقبه، طرقبه بعد از پمپ بنزین، امام خمینی ۵، قطعه سوم،,Iran,10,2.5,NULL,NULL
Tipax,تیپاکس عباس آباد,Tehran,Tehran,10,2.9,NULL,NULL
Tipax,تیپاکس فارابی شهرکرد,NULL,Chaharmahal and Bakhtiari,8,2.0,NULL,NULL
Tipax,تیپاکس فاروج,NULL,North Khorasan,10,2.6,NULL,NULL
Tipax,تیپاکس فاطمی,Tehran,Tehran,10,4.0,NULL,NULL
Tipax,تیپاکس فرهنگ شهر,NULL,خوزستان,10,4.0,NULL,NULL
Tipax,تیپاکس فلکه اول تهرانپارس,Tehran,Tehran,4,2.0,NULL,NULL
Tipax,تیپاکس فلکه چهارم تهرانپارس,Tehran,Tehran,1,1.0,NULL,NULL
Tipax,تیپاکس فومن,NULL,Gilan,4,3.25,NULL,NULL
Tipax,تیپاکس فیاض بخش,Tehran,Tehran,2,3.0,NULL,NULL
Tipax,تیپاکس قادرآباد,Qaderabad,Boulevard Imam,4,4.0,NULL,NULL
Tipax,تیپاکس قلمستان,Karaj,Alborz,8,1.875,NULL,NULL
Tipax,تیپاکس قم|شعبه مرکزی,NULL,Qom,10,1.6,NULL,NULL
Tipax,تیپاکس لاله زار,Tehran,Tehran,7,3.8571,NULL,NULL
Tipax,تیپاکس لنگرود آزادی,NULL,Gilan,3,5.0,NULL,NULL
Tipax,تیپاکس مایسا,NULL,West Azerbaijan,1,5.0,NULL,NULL
Tipax,تیپاکس مجتمع تجاری امال,Tehran,Tehran,2,5.0,NULL,NULL
Tipax,تیپاکس مجتمع خلیج فارس,NULL,فارس,3,5.0,NULL,NULL
Tipax,تیپاکس محله کوجان,Isfahan,Isfahan,3,5.0,NULL,NULL
Tipax,تیپاکس محمودآباد,NULL,Mazandaran,10,3.0,NULL,NULL
Tipax,تیپاکس مرکزی صدرا,NULL,Fars,7,5.0,NULL,NULL
Tipax,تیپاکس مشتاق,Isfahan,Isfahan,7,4.4286,NULL,NULL
Tipax,تیپاکس ملک‌شهر,Isfahan,Isfahan,10,2.6,NULL,NULL
Tipax,تیپاکس منتظری ارومیه جدید,NULL,West Azerbaijan,10,2.2,NULL,NULL
Tipax,تیپاکس منجیل,NULL,Gilan,10,4.6,NULL,NULL
Tipax,تیپاکس مهاباد شعبه مرکزی _ شاهی جان,NULL,West Azerbaijan,9,3.4444,NULL,NULL
Tipax,تیپاکس مهدیه,NULL,Kerman,6,3.6667,NULL,NULL
Tipax,تیپاکس مهرشهر,Tehran,Tehran,10,2.0,NULL,NULL
Tipax,تیپاکس مهرویلا,NULL,Alborz,2,3.0,NULL,NULL
Tipax,تیپاکس مهستان,NULL,Alborz,10,2.2,NULL,NULL
Tipax,تیپاکس مکران,NULL,Sistan and Baluchestan,3,2.6667,NULL,NULL
Tipax,تیپاکس میانرود,NULL,Fars,5,4.2,NULL,NULL
Tipax,تیپاکس نقش جهان,Isfahan,Isfahan,1,1.0,NULL,NULL
Tipax,تیپاکس نمایندگی بندر امام خمینی,NULL,خوزستان,10,3.4,NULL,NULL
Tipax,تیپاکس نمایندگی خاوران,Tehran,Tehran,4,4.0,NULL,NULL
Tipax,تیپاکس نمایندگی رستم آباد,NULL,Gilan,8,3.75,NULL,NULL
Tipax,تیپاکس نمایندگی سمیرم,Isfahan,Isfahan,1,3.0,NULL,NULL
Tipax,تیپاکس نمایندگی صائب تبریزی,NULL,East Azerbaijan,10,1.7,NULL,NULL
Tipax,تیپاکس نمایندگی فریدونکنار,NULL,Mazandaran,8,2.5,NULL,NULL
Tipax,تیپاکس نمایندگی فیروزآباد,NULL,Fars,6,5.0,NULL,NULL
Tipax,تیپاکس نمایندگی فیض اصفهان,روبروی مسجد رکن الملک،,Feiz St,10,2.6,NULL,NULL
Tipax,تیپاکس نمایندگی نگارخانه,NULL,Kerman,10,3.6,NULL,NULL
Tipax,تیپاکس نمایندگی والفجر,NULL,Fars,2,4.5,NULL,NULL
Tipax,تیپاکس نمایندگی یاغچیان,29HG+JMJ,Basmenj,3,2.0,NULL,NULL
Tipax,تیپاکس نمایندگی ۲ سنندج,NULL,Kurdistan,9,2.1111,NULL,NULL
Tipax,تیپاکس نواب,NULL,مازندران,10,2.0,NULL,NULL
Tipax,تیپاکس نیشابور شعبه بینالود,NULL,Razavi Khorasan,10,3.8,NULL,NULL
Tipax,"تیپاکس نیوساید اهواز (TIPAX,NEWSIDE)",NULL,Khuzestan,1,5.0,NULL,NULL
Tipax,تیپاکس هشتگرد,NULL,Alborz,10,2.2,NULL,NULL
Tipax,تیپاکس هفتکل,NULL,Khuzestan,1,5.0,NULL,NULL
Tipax,تیپاکس ورزنه,Isfahan,Isfahan,2,5.0,NULL,NULL
Tipax,تیپاکس پاداد,NULL,Khuzestan,4,3.0,NULL,NULL
Tipax,تیپاکس پل تمدن,اصفهان,اصفهان,5,5.0,NULL,NULL
Tipax,تیپاکس پلاسکو,تهران,تهران,2,5.0,NULL,NULL
Tipax,تیپاکس پونک,Tehran,Tehran,8,1.0,NULL,NULL
Tipax,تیپاکس چای کنار,NULL,East Azerbaijan,4,2.0,NULL,NULL
Tipax,تیپاکس چناران,Chenaran، خیابان شهید بهشتی 15، J4MF+6Q2,Iran,1,5.0,NULL,NULL
Tipax,تیپاکس چهلستون,Isfahan,Isfahan,3,5.0,NULL,NULL
Tipax,تیپاکس کارمانیا(شعبه ۹),NULL,Kerman,2,1.0,NULL,NULL
Tipax,تیپاکس کاشان شعبه مشفق,Isfahan,Isfahan,9,3.6667,NULL,NULL
Tipax,تیپاکس کن,تهران,تهران,6,4.3333,NULL,NULL
Tipax,تیپاکس کومله,NULL,گیلان,1,5.0,NULL,NULL
Tipax,تیپاکس کوهدشت,NULL,Lorestan,5,3.4,NULL,NULL
Tipax,تیپاکس کوی نفت tipax,NULL,Khuzestan,10,2.3,NULL,NULL
Tipax,تیپاکس کیان آباد_وهابی,NULL,Khuzestan,4,2.0,NULL,NULL
Tipax,تیپاکس کیانمهر,Karaj,Alborz,10,3.4,NULL,NULL
Tipax,تیپاکس گلسار رشت,NULL,Gilan,10,3.4,NULL,NULL
Tipax,تیپاکس گلستان,NULL,Golestan,10,1.8,NULL,NULL
Tipax,تیپاکس گلشهر کاظمیه زنجان,NULL,Zanjan,4,3.0,NULL,NULL
Tipax,تیپاکس گوهردشت,Karaj,Alborz,1,3.0,NULL,NULL
Tipax,تیپاکس یاس,Tehran,Tehran,3,3.6667,NULL,NULL
Tipax,تیپاکس. کجوار-باغمعروف,NULL,East Azerbaijan,2,5.0,NULL,NULL
Tipax,تیپاکس‌شعبه بابل (میدان ولایت),NULL,مازندران,9,2.4444,NULL,NULL
Tipax,دفتر تیپاکس اصفهان رباط,Isfahan,Isfahan,1,1.0,NULL,NULL
Tipax,دفتر تیپاکس شعبه شهرک صنعتی جی,Isfahan,Isfahan,2,1.5,NULL,NULL
Tipax,دفتر تیپاکس شعبه نصر,NULL,Fars,10,1.8,NULL,NULL
Tipax,دفتر تیپاکس کازرون,NULL,فارس,10,2.0,NULL,NULL
Tipax,دفتر تیپاکس کوی نیایش,68FH+832,Bandar Abbas,1,5.0,NULL,NULL
Tipax,دفتر مرکزی تیپاکس,Isfahan,Isfahan,1,1.0,NULL,NULL
Tipax,دفتر مرکزی تیپاکس تهران,تهران,تهران,10,1.0,NULL,NULL
Tipax,دفتر پیشخوان دولت نمایندگی پست و تیپاکس,NULL,Khuzestan,1,5.0,NULL,NULL
Tipax,دفتر پیشخوان و نمایندگی تیپاکس,Isfahan,Isfahan,2,4.5,NULL,NULL
Tipax,سالن سورتینگ تیپاکس ( تی هاب ),Isfahan,Isfahan,10,1.3,NULL,NULL
Tipax,سرویس پوینت تیپاکس بازار عبدل آباد,Tehran,Tehran,6,5.0,NULL,NULL
Tipax,سرویس پوینت تیپاکس رزمجو,NULL,Sistan and Baluchestan,2,1.0,NULL,NULL
Tipax,سرویس پوینت تیپاکس رویان,NULL,Mazandaran,8,3.625,NULL,NULL
Tipax,سرویس پوینت تیپاکس سامان,FW46+P3J,Saman,3,2.0,NULL,NULL
Tipax,سرویس پوینت تیپاکس صوراسرافیل,Tehran,Tehran,3,2.3333,NULL,NULL
Tipax,سرویس پوینت تیپاکس لوشان,NULL,Gilan,3,3.6667,NULL,NULL
Tipax,سرپرستی تیپاکس همدان,همدان,همدان,10,2.5,NULL,NULL
Tipax,شرکت تیپاکس,NULL,Sistan and Baluchestan,9,3.2222,NULL,NULL
Tipax,شعبه تیپاکس آجودانیه,Tehran,Tehran,2,5.0,NULL,NULL
Tipax,شعبه تیپاکس قوچان,Quchan,Hafez St,9,4.4444,NULL,NULL
Tipax,نمایندگی تیپاکس آبشار (شرق اصفهان ),Isfahan,Isfahan,2,3.0,NULL,NULL
Tipax,نمایندگی تیپاکس آتشگاه اصفهان,Isfahan,Isfahan,10,2.1,NULL,NULL
Tipax,نمایندگی تیپاکس آذری,Tehran,Tehran,1,5.0,NULL,NULL
Tipax,نمایندگی تیپاکس اشتهارد,NULL,Alborz,6,2.5,NULL,NULL
Tipax,نمایندگی تیپاکس افسریه,Tehran,Tehran,10,2.7,NULL,NULL
Tipax,نمایندگی تیپاکس الغدیر کرمان,NULL,Kerman,10,2.7,NULL,NULL
Tipax,نمایندگی تیپاکس اهواز سه,9P2H+P63,Ahvaz,10,1.7,NULL,NULL
Tipax,نمایندگی تیپاکس بابلسر,NULL,Mazandaran,10,3.1,NULL,NULL
Tipax,نمایندگی تیپاکس باهنر,NULL,West Azerbaijan,7,2.0,NULL,NULL
Tipax,نمایندگی تیپاکس بنجار,NULL,Sistan and Baluchestan,1,1.0,NULL,NULL
Tipax,نمایندگی تیپاکس بهمنیار,Tehran,Tehran,1,2.0,NULL,NULL
Tipax,نمایندگی تیپاکس بوشهر سلمان فارسی,NULL,Bushehr,10,1.9,NULL,NULL
Tipax,نمایندگی تیپاکس بوکان,NULL,West Azerbaijan,10,1.2,NULL,NULL
Tipax,نمایندگی تیپاکس بیجار,NULL,Kurdistan,2,3.0,NULL,NULL
Tipax,نمایندگی تیپاکس بیرجند,NULL,South Khorasan,10,1.9,NULL,NULL
Tipax,نمایندگی تیپاکس تفت,یزد,یزد,1,5.0,NULL,NULL
Tipax,نمایندگی تیپاکس توکهور هشتبندی,NULL,Hormozgan,5,2.6,NULL,NULL
Tipax,نمایندگی تیپاکس تکاب آذربایجان غربی,NULL,West Azerbaijan,3,4.6667,NULL,NULL
Tipax,نمایندگی تیپاکس جلفا,Isfahan,Isfahan,3,3.6667,NULL,NULL
Tipax,نمایندگی تیپاکس جناح هرمزگان,NULL,Hormozgan,1,5.0,NULL,NULL
Tipax,نمایندگی تیپاکس حکیم بیرجند,NULL,South Khorasan,10,2.0,NULL,NULL
Tipax,نمایندگی تیپاکس حکیمیه,Tehran,Tehran,10,3.3,NULL,NULL
Tipax,نمایندگی تیپاکس خاش,Khash، خیابان نیکبخت، 66F7+576,Iran,10,2.9,NULL,NULL
Tipax,نمایندگی تیپاکس خرم آباد افلاک,NULL,Lorestan,4,3.0,NULL,NULL
Tipax,نمایندگی تیپاکس خرم آباد کیو,NULL,Lorestan,10,2.8,NULL,NULL
Tipax,نمایندگی تیپاکس خواف,Khaf,خیابان فصیح,1,5.0,NULL,NULL
Tipax,نمایندگی تیپاکس درگهان (استان هرمزگان),NULL,Hormozgan,10,2.1,NULL,NULL
Tipax,نمایندگی تیپاکس دزفول کمیل,NULL,خوزستان,6,3.5,NULL,NULL
Tipax,نمایندگی تیپاکس دهکده المپیک,دهکده المپیک خیابان ساحل,خیابان ۴۵، Iran,10,2.6,NULL,NULL
Tipax,نمایندگی تیپاکس راه آهن,Tehran,Tehran,10,2.2,NULL,NULL
Tipax,نمایندگی تیپاکس رحیم آباد,NULL,Gilan,2,4.5,NULL,NULL
Tipax,نمایندگی تیپاکس رشت رشتیان,NULL,Gilan,10,1.8,NULL,NULL
Tipax,نمایندگی تیپاکس رهنان,Isfahan,Isfahan,10,1.8,NULL,NULL
Tipax,نمایندگی تیپاکس سراوان,NULL,Sistan and Baluchestan,10,1.4,NULL,NULL
Tipax,نمایندگی تیپاکس سپیدان,NULL,Fars,1,5.0,NULL,NULL
Tipax,نمایندگی تیپاکس سیاهکل,NULL,Gilan,5,2.2,NULL,NULL
Tipax,نمایندگی تیپاکس سیریک,NULL,هرمزگان,2,5.0,NULL,NULL
Tipax,نمایندگی تیپاکس شعبه اروند ماهشهر,NULL,Khuzestan,3,5.0,NULL,NULL
Tipax,نمایندگی تیپاکس شعبه ساحل طلایی,NULL,مازندران,5,4.2,NULL,NULL
Tipax,نمایندگی تیپاکس شعبه میانه 2,NULL,East Azerbaijan,9,4.2222,NULL,NULL
Tipax,نمایندگی تیپاکس شهرک صنعتی کلات,مشهد,خراسان رضوی,3,1.0,NULL,NULL
Tipax,نمایندگی تیپاکس شهرک های صنعتی,NULL,Hormozgan,3,3.6667,NULL,NULL
Tipax,نمایندگی تیپاکس شیراز شهرک صنعتی,NULL,Fars,10,2.1,NULL,NULL
Tipax,نمایندگی تیپاکس شیراز پاسارگاد,NULL,Fars,10,1.8,NULL,NULL
Tipax,نمایندگی تیپاکس شیرگاه,NULL,Mazandaran,5,5.0,NULL,NULL
Tipax,نمایندگی تیپاکس صفائیه یزد,NULL,Yazd,10,1.0,NULL,NULL
Tipax,نمایندگی تیپاکس فراشبند,NULL,Fars,1,5.0,NULL,NULL
Tipax,نمایندگی تیپاکس فسا سرو,NULL,Fars,10,5.0,NULL,NULL
Tipax,نمایندگی تیپاکس فلاح,Tehran,Tehran,3,5.0,NULL,NULL
Tipax,نمایندگی تیپاکس فلاورجان,اصفهان,اصفهان,10,3.2,NULL,NULL
Tipax,نمایندگی تیپاکس فیض آباد,NULL,Razavi Khorasan,1,5.0,NULL,NULL
Tipax,نمایندگی تیپاکس قرچک,Tehran,Tehran,10,1.5,NULL,NULL
Tipax,نمایندگی تیپاکس قشم ساحل,NULL,Hormozgan,10,1.9,NULL,NULL
Tipax,نمایندگی تیپاکس قم نبوت,یزد,یزد,10,1.8,NULL,NULL
Tipax,نمایندگی تیپاکس لردگان,NULL,چهارمحال و بختیاری,3,3.6667,NULL,NULL
Tipax,نمایندگی تیپاکس مشیریه,تهران,تهران,10,1.4,NULL,NULL
Tipax,نمایندگی تیپاکس ملکان,NULL,East Azerbaijan,10,3.2,NULL,NULL
Tipax,نمایندگی تیپاکس نازی آباد,Tehran,Tehran,10,2.8,NULL,NULL
Tipax,نمایندگی تیپاکس نظرآباد,NULL,Alborz,10,1.0,NULL,NULL
Tipax,نمایندگی تیپاکس نواب,Tehran,Tehran,3,1.6667,NULL,NULL
Tipax,نمایندگی تیپاکس هرات,NULL,Yazd,3,4.6667,NULL,NULL
Tipax,نمایندگی تیپاکس هرند,Isfahan,Isfahan,2,3.0,NULL,NULL
Tipax,نمایندگی تیپاکس واوان تهران,Tehran,Tehran,10,1.8,NULL,NULL
Tipax,نمایندگی تیپاکس پره سر,NULL,Gilan,3,5.0,NULL,NULL
